name,code
Adelaide,CA
Brisbane,CA
Hobart,CA
Melbourne,CA
Perth,CA
Sydney,AU
GB,UK
Bulgary,BG
CzechRepublic,CZ
Portugal@Hungary,HU
Portugal@Slovenia,SI
HongKong,HK
PortugalHD,PT
Russian,RU
USA,US
NewZealand,NZ
IrelandHD,IE
Cambridgeshire,UK
CambridgeshireHD,UK
ChannelIslandsHD,UK
London,UK
LondonHD,UK
NorthernIreland,IE
NorthernIrelandHD,IE
Oxfordshire,GB
OxfordshireHD,GB
ScotlandHD,GB
WalesHD,GB
YorkshireHD,GB
YorkshireLincolnshireHD,GB
England,GB
FranceHD,FR
NetherlandsHD,NL
GermanyHD,DE
Argentine,AR
IrelandPlus1,GB
SouthKorea,KR
RussiaHD,RU
FR,FR
NL,NL
NLHD,NL
Alpes,FR
Alsace,FR
Aquitaine,FR
Auvergne,FR
BasseNormandie,FR
Bourgogne,FR
Bretagne,FR
CentreValdeLoire,FR
ChampagneArdenne,FR
CorseViaStella,FR
CotedAzur,FR
FrancheComte,FR
HauteNormandie,FR
LanguedocRoussillon,FR
Limousin,FR
Lorraine,FR
MidiPyrenees,FR
NordPasdeCalais,FR
NormandieCaen,FR
NormandieRouen,FR
NouvelleAquitaine,FR
ParisIledeFrance,FR
PaysdelaLoire,FR
Picardie,FR
PoitouCharentes,FR
ProvenceAlpes,FR
RhoneAlpes,FR
AngliaHD,UK
AngliaPlus1,UK
Granada,ES
GranadaHD,ES
GranadaPlus1,ES
LondonPlus1,GB
Meridian,GB
MeridianHD,GB
MeridianPlus1,GB
TyneTees,GB
TyneTeesHD,GB
TyneTeesPlus1,GB
Wales,GB
WalesPlus1,GB
Yorkshire,GB
YorkshirePlus1,GB
RussianHD,RU
SerbiaHD,RS
Ontario,CA
Atlantic,US
US,US
