name_old,xmltv_id_new,name_new,country
BR,BRFernsehen.de@Sued,BR Fernsehen Süd,DE
BR Fernsehen,BRFernsehen.de@Sued,BR Fernsehen Süd,DE
BR Fernsehen Nord,BRFernsehen.de@Nord,BR Fernsehen Nord,DE
BR Fernsehen Süd,BRFernsehen.de@Sued,BR Fernsehen Süd,DE
MDR,MDRFernsehen.de@Sachsen,MDR Fernsehen Sachsen,DE
MDR Fernsehen,MDRFernsehen.de@Sachsen,MDR Fernsehen Sachsen,DE
MDR Sachsen,MDRFernsehen.de@Sachsen,MDR Fernsehen Sachsen,DE
MDR Sachsen-Anhalt,MDRFernsehen.de@SachsenAnhalt,MDR Fernsehen Sachsen-Anhalt,DE
MDR Thüringen,MDRFernsehen.de@Thueringen,MDR Fernsehen Thüringen,DE
MDR-Fernsehen Sachsen,MDRFernsehen.de@Sachsen,MDR Fernsehen Sachsen,DE
MDR-Fernsehen Sachsen-Anhalt,MDRFernsehen.de@SachsenAnhalt,MDR Fernsehen Sachsen-Anhalt,DE
MDR-Fernsehen Thüringen,MDRFernsehen.de@Thueringen,MDR Fernsehen Thüringen,DE
NDR,NDRFernsehen.de@Hamburg,NDR Fernsehen Hamburg,DE
NDR Fernsehen,NDRFernsehen.de@Hamburg,NDR Fernsehen Hamburg,DE
NDR Fernsehen Hamburg,NDRFernsehen.de@Hamburg,NDR Fernsehen Hamburg,DE
NDR Fernsehen HH,NDRFernsehen.de@Hamburg,NDR Fernsehen Hamburg,DE
NDR Fernsehen Mecklenburg-Vorpommern,NDRFernsehen.de@MecklenburgVorpommern,NDR Fernsehen Mecklenburg-Vorpommern,DE
NDR Fernsehen MV,NDRFernsehen.de@MecklenburgVorpommern,NDR Fernsehen Mecklenburg-Vorpommern,DE
NDR Fernsehen NDS,NDRFernsehen.de@Niedersachsen,NDR Fernsehen Niedersachsen,DE
NDR Fernsehen Niedersachsen,NDRFernsehen.de@Niedersachsen,NDR Fernsehen Niedersachsen,DE
NDR Fernsehen Schleswig-Holstein,NDRFernsehen.de@SchleswigHolstein,NDR Fernsehen Schleswig-Holstein,DE
NDR Fernsehen SH,NDRFernsehen.de@SchleswigHolstein,NDR Fernsehen Schleswig-Holstein,DE
NDR Hamburg,NDRFernsehen.de@Hamburg,NDR Fernsehen Hamburg,DE
NDR Mecklenburg-Vorpommern,NDRFernsehen.de@MecklenburgVorpommern,NDR Fernsehen Mecklenburg-Vorpommern,DE
NDR Niedersachsen,NDRFernsehen.de@Niedersachsen,NDR Fernsehen Niedersachsen,DE
NDR Schleswig-Holstein,NDRFernsehen.de@SchleswigHolstein,NDR Fernsehen Schleswig-Holstein,DE
RBB,rbbFernsehen.de@Berlin,rbb Fernsehen Berlin,DE
rbb,rbbFernsehen.de@Berlin,rbb Fernsehen Berlin,DE
rbb Berlin,rbbFernsehen.de@Berlin,rbb Fernsehen Berlin,DE
RBB Berlin,rbbFernsehen.de@Berlin,rbb Fernsehen Berlin,DE
RBB Berlin Fernsehen,rbbFernsehen.de@Berlin,rbb Fernsehen Berlin,DE
RBB Brandenburg,rbbFernsehen.de@Brandenburg,rbb Fernsehen Brandenburg,DE
RBB Brandenburg Fernsehen,rbbFernsehen.de@Brandenburg,rbb Fernsehen Brandenburg,DE
RBB Fernsehen,rbbFernsehen.de@Berlin,rbb Fernsehen Berlin,DE
rbb fernsehen Berlin,rbbFernsehen.de@Berlin,rbb Fernsehen Berlin,DE
RBB Fernsehen Berlin,rbbFernsehen.de@Berlin,rbb Fernsehen Berlin,DE
rbb fernsehen Brandenburg,rbbFernsehen.de@Brandenburg,rbb Fernsehen Brandenburg,DE
RBB Fernsehen Brandenburg,rbbFernsehen.de@Brandenburg,rbb Fernsehen Brandenburg,DE
SWR,SWRFernsehen.de@BadenWuerttemberg,SWR Fernsehen Baden-Württemberg,DE
SWR Baden-Württemberg,SWRFernsehen.de@BadenWuerttemberg,SWR Fernsehen Baden-Württemberg,DE
SWR Fernsehen,SWRFernsehen.de@BadenWuerttemberg,SWR Fernsehen Baden-Württemberg,DE
SWR Fernsehen BW,SWRFernsehen.de@BadenWuerttemberg,SWR Fernsehen Baden-Württemberg,DE
SWR Fernsehen RP,SWRFernsehen.de@RheinlandPfalz,SWR Fernsehen Rheinland-Pfalz,DE
SWR-Fernsehen,SWRFernsehen.de@BadenWuerttemberg,SWR Fernsehen Baden-Württemberg,DE
SWR/SR,SWRFernsehen.de@BadenWuerttemberg,SWR Fernsehen Baden-Württemberg,DE
