tvgid,xmltvid,name,country
BRFernsehen.de@Nord,BRFernsehenNord.de,BR Fernsehen Nord,DE
BRFernsehen.de@Sud,BRFernsehenSud.de,BR Fernsehen Süd,DE
MDRFernsehen.de@Sachsen,MDRFernsehenSachsen.de,MDR Fernsehen Sachsen,DE
MDRFernsehen.de@SachsenAnhalt,MDRFernsehenSachsenAnhalt.de,MDR Fernsehen Sachsen-Anhalt,DE
MDRFernsehen.de@Thuringen,MDRFernsehenThuringen.de,MDR Fernsehen Thüringen,DE
NDRFernsehen.de@Hamburg,NDRFernsehenHamburg.de,NDR Hamburg,DE
NDRFernsehen.de@MecklenburgVorpommern,NDRFernsehenMecklenburgVorpommern.de,NDR Mecklenburg-Vorpommern,DE
NDRFernsehen.de@Niedersachsen,NDRFernsehenNiedersachsen.de,NDR Niedersachsen,DE
NDRFernsehen.de@SchleswigHolstein,NDRFernsehenSchleswigHolstein.de,NDR Schleswig-Holstein,DE
WDRFernsehen.de@Aachen,WDRFernsehenAachen.de,WDR Fernsehen Aachen,DE
WDRFernsehen.de@Bielefeld,WDRFernsehenBielefeld.de,WDR Fernsehen Bielefeld,DE
WDRFernsehen.de@Bonn,WDRFernsehenBonn.de,WDR Fernsehen Bonn,DE
WDRFernsehen.de@Dortmund,WDRFernsehenDortmund.de,WDR Fernsehen Dortmund,DE
WDRFernsehen.de@Duisburg,WDRFernsehenDuisburg.de,WDR Fernsehen Duisburg,DE
WDRFernsehen.de@Dusseldorf,WDRFernsehenDusseldorf.de,WDR Fernsehen Düsseldorf,DE
WDRFernsehen.de@Essen,WDRFernsehenEssen.de,WDR Fernsehen Essen,DE
WDRFernsehen.de@Koln,WDRFernsehenKoln.de,WDR Fernsehen Köln,DE
WDRFernsehen.de@Munster,WDRFernsehenMunster.de,WDR Fernsehen Münster,DE
WDRFernsehen.de@Siegen,WDRFernsehenSiegen.de,WDR Fernsehen Siegen,DE
WDRFernsehen.de@Wuppertal,WDRFernsehenWuppertal.de,WDR Fernsehen Wuppertal,DE
rbbFernsehen.de@Berlin,rbbFernsehenBerlin.de,RBB Berlin,DE
rbbFernsehen.de@Brandenburg,rbbFernsehenBrandenburg.de,RBB Brandenburg,DE
